,index,set
0,25815,train
1,4631,train
2,12086,train
3,9229,train
4,2920,train
5,22267,train
6,13247,train
7,5193,train
8,22104,train
9,21169,train
10,25671,train
11,20428,train
12,24846,train
13,331,train
14,24224,train
15,14445,train
16,4756,train
17,5794,train
18,21275,train
19,3824,train
20,24954,train
21,29312,train
22,14168,train
23,4945,train
24,16497,train
25,13186,train
26,11021,train
27,26099,train
28,26466,train
29,20077,train
30,26149,train
31,15242,train
32,27531,train
33,11971,train
34,1117,train
35,21717,train
36,19616,train
37,11411,train
38,3125,train
39,26566,train
40,29868,train
41,13300,train
42,29475,train
43,5650,train
44,26749,train
45,28263,train
46,27049,train
47,15145,train
48,24538,train
49,5183,train
50,29203,train
51,18622,train
52,24065,train
53,22209,train
54,11298,train
55,1365,train
56,14485,train
57,18371,train
58,7946,train
59,7683,train
60,23211,train
61,21201,train
62,23157,train
63,12669,train
64,10722,train
65,10565,train
66,950,train
67,2583,train
68,15890,train
69,19222,train
70,13174,train
71,21086,train
72,23612,train
73,19124,train
74,28972,train
75,5458,train
76,29326,train
77,12724,train
78,10676,train
79,13427,train
80,22229,train
81,10931,train
82,9775,train
83,11758,train
84,24855,train
85,28449,train
86,15810,train
87,23193,train
88,4080,train
89,1826,train
90,17814,train
91,2260,train
92,14742,train
93,26074,train
94,11386,train
95,10779,train
96,17100,train
97,24316,train
98,9480,train
99,23727,train
100,3112,train
101,6052,train
102,19456,train
103,23582,train
104,14860,train
105,8135,train
106,12826,train
107,3071,train
108,29535,train
109,8844,train
110,1623,train
111,11971,train
112,9394,train
113,17777,train
114,25144,train
115,4696,train
116,1559,train
117,98,train
118,9529,train
119,3940,train
120,28904,train
121,6860,train
122,21045,train
123,26595,train
124,19084,train
125,19538,train
126,24775,train
127,28074,train
128,12728,train
129,27120,train
130,24668,train
131,1616,train
132,6292,train
133,28439,train
134,10826,train
135,5786,train
136,28999,train
137,12564,train
138,19271,train
139,20699,train
140,20267,train
141,6965,train
142,509,train
143,18197,train
144,21709,train
145,19932,train
146,25373,train
147,26862,train
148,22708,train
149,13330,train
150,2497,train
151,26477,train
152,11640,train
153,5325,train
154,6363,train
155,20279,train
156,11816,train
157,2648,train
158,11038,train
159,9037,train
160,23882,train
161,18183,train
162,22876,train
163,9055,train
164,22651,train
165,10451,train
166,9945,train
167,11133,train
168,29335,train
169,10922,train
170,7212,train
171,1547,train
172,12391,train
173,5711,train
174,15249,train
175,20778,train
176,17788,train
177,26776,train
178,3686,train
179,17737,train
180,15327,train
181,4461,train
182,11440,train
183,11233,train
184,12242,train
185,18656,train
186,4899,train
187,20331,train
188,4088,train
189,14574,train
190,643,train
191,15573,train
192,22755,train
193,12625,train
194,14879,train
195,18159,train
196,20944,train
197,12705,train
198,29956,train
199,4548,train
200,2368,train
201,19930,train
202,8956,train
203,22530,train
204,9989,train
205,1543,train
206,8043,train
207,11259,train
208,150,train
209,14257,train
210,10191,train
211,2758,train
212,7144,train
213,18691,train
214,14238,train
215,24485,train
216,10919,train
217,4797,train
218,6950,train
219,6201,train
220,26219,train
221,10315,train
222,12936,train
223,27407,train
