,index,set
0,16149,train
1,12920,train
2,28372,train
3,2156,train
4,19721,train
5,9535,train
6,9850,train
7,26982,train
8,20658,train
9,16837,train
10,27969,train
11,24173,train
12,17908,train
13,17213,train
14,11921,train
15,15963,train
16,24348,train
17,3174,train
18,9255,train
19,21317,train
20,25369,train
21,20342,train
22,18685,train
23,25951,train
24,19779,train
25,4628,train
26,16535,train
27,4915,train
28,22942,train
29,2667,train
30,8781,train
31,6402,train
32,7646,train
33,21934,train
34,20116,train
35,24190,train
36,26693,train
37,25126,train
38,21485,train
39,27221,train
40,26062,train
41,8192,train
42,15547,train
43,12789,train
44,23914,train
45,26957,train
46,14413,train
47,12603,train
48,11611,train
49,2029,train
50,18210,train
51,8941,train
52,12513,train
53,9398,train
54,24547,train
55,12724,train
56,19746,train
57,2296,train
58,11171,train
59,18524,train
60,21609,train
61,6735,train
62,28594,train
63,3068,train
64,7754,train
65,12922,train
66,27184,train
67,4711,train
68,27202,train
69,12109,train
70,29031,train
71,11287,train
72,13442,train
73,269,train
74,12270,train
75,12018,train
76,24405,train
77,6394,train
78,3934,train
79,4844,train
80,5821,train
81,13518,train
82,24959,train
83,11494,train
84,9654,train
85,27110,train
86,6205,train
87,23450,train
88,13620,train
89,29449,train
90,13977,train
91,28785,train
92,17990,train
93,22710,train
94,21600,train
95,4529,train
96,5058,train
97,24911,train
98,26208,train
99,27856,train
100,19118,train
101,2476,train
102,3918,train
103,22380,train
104,21474,train
105,10791,train
106,5988,train
107,16870,train
108,8257,train
109,17557,train
110,5869,train
111,11448,train
112,8660,train
113,21651,train
114,20089,train
115,10914,train
116,8780,train
117,4057,train
118,17637,train
119,26269,train
120,18393,train
121,24470,train
122,5070,train
123,11294,train
124,3550,train
125,19682,train
126,1831,train
127,1406,train
128,27085,train
129,400,train
130,20819,train
131,12591,train
132,46,train
133,458,train
134,17123,train
135,6224,train
136,17646,train
137,16007,train
138,7083,train
139,23749,train
140,24294,train
141,26673,train
142,13110,train
143,7484,train
144,1164,train
145,13989,train
146,16014,train
147,23762,train
148,17080,train
149,19986,train
150,8203,train
151,21034,train
152,20682,train
153,15580,train
154,13976,train
155,18933,train
156,13477,train
157,19291,train
158,8492,train
159,29471,train
160,21633,train
161,22915,train
162,10108,train
163,15606,train
164,27137,train
165,16760,train
166,13086,train
167,24530,train
168,13745,train
169,10322,train
170,9276,train
171,17151,train
172,15333,train
173,28402,train
174,13944,train
175,6089,train
176,3981,train
177,13916,train
178,25067,train
179,12894,train
180,14023,train
181,18609,train
182,14101,train
183,19599,train
184,3763,train
185,4726,train
186,23688,train
187,9085,train
188,10275,train
189,17010,train
190,17787,train
191,27929,train
192,29151,train
193,25003,train
194,22190,train
195,8278,train
196,7724,train
197,3311,train
198,20657,train
199,21100,train
200,20013,train
201,9435,train
202,5981,train
203,11822,train
204,4781,train
205,25173,train
206,22144,train
207,21109,train
208,7103,train
209,17663,train
210,29986,train
211,22230,train
212,13478,train
213,7583,train
214,20756,train
215,1682,train
216,19296,train
217,4967,train
218,26398,train
219,1202,train
220,28850,train
221,18815,train
222,12976,train
223,5162,train
224,16784,train
225,13833,train
226,10271,train
227,19577,train
