,index,set
0,10850,train
1,6993,train
2,12872,train
3,3030,train
4,26770,train
5,7451,train
6,26289,train
7,10360,train
8,2028,train
9,25571,train
10,28157,train
11,5660,train
12,17396,train
13,3363,train
14,14332,train
15,18271,train
16,23965,train
17,12155,train
18,1697,train
19,28373,train
20,2247,train
21,17392,train
22,26665,train
23,11950,train
24,19077,train
25,9043,train
26,6604,train
27,13462,train
28,17415,train
29,6059,train
30,23979,train
31,6176,train
32,27071,train
33,29863,train
34,17410,train
35,21584,train
36,16627,train
37,19796,train
38,14983,train
39,14627,train
40,27761,train
41,18788,train
42,24794,train
43,15405,train
44,5615,train
45,22862,train
46,26861,train
47,2607,train
48,20509,train
49,604,train
50,6763,train
51,23101,train
52,5463,train
53,7313,train
54,5637,train
55,12198,train
56,20919,train
57,2731,train
58,21445,train
59,23543,train
60,29221,train
61,18128,train
62,28503,train
63,1282,train
64,14805,train
65,27529,train
66,11073,train
67,16003,train
68,18020,train
69,21311,train
70,10223,train
71,22824,train
72,28165,train
73,9212,train
74,27271,train
75,26275,train
76,3183,train
77,24760,train
78,12258,train
79,19094,train
80,17835,train
81,4528,train
82,24108,train
83,22910,train
84,25945,train
85,10536,train
86,28755,train
87,4043,train
88,6631,train
89,27900,train
90,8166,train
91,546,train
92,16886,train
93,9603,train
94,27026,train
95,6324,train
96,2508,train
97,5799,train
98,6102,train
99,13937,train
100,3338,train
101,6567,train
102,12394,train
103,29300,train
104,14016,train
105,18366,train
106,22951,train
107,3563,train
108,18231,train
109,2799,train
110,11333,train
111,3068,train
112,1889,train
113,18600,train
114,18277,train
115,4238,train
116,27513,train
117,2735,train
118,13949,train
119,5304,train
120,14827,train
121,4420,train
122,4461,train
123,1627,train
124,5159,train
125,2135,train
126,19257,train
127,1294,train
128,29468,train
129,18402,train
130,1713,train
131,22891,train
132,9012,train
133,9471,train
134,9989,train
135,18033,train
136,10286,train
137,22110,train
138,2079,train
139,19813,train
140,29995,train
141,29339,train
142,90,train
143,15104,train
144,10061,train
145,21320,train
146,6241,train
147,4105,train
148,18736,train
149,20088,train
150,8808,train
151,10309,train
152,23024,train
153,13167,train
154,11551,train
155,28319,train
156,9709,train
157,28654,train
158,19406,train
159,4849,train
160,25620,train
161,9005,train
162,12117,train
163,2181,train
164,29209,train
165,6573,train
166,10882,train
167,27014,train
168,5946,train
169,10408,train
170,23027,train
171,20023,train
172,28646,train
173,15558,train
174,23373,train
175,16599,train
176,11580,train
177,18713,train
178,2418,train
179,23667,train
180,16757,train
181,10184,train
182,10863,train
183,20752,train
184,27704,train
185,2404,train
186,13629,train
187,13663,train
188,3770,train
189,17738,train
190,19981,train
191,25558,train
192,6411,train
193,25098,train
194,502,train
195,6951,train
196,12330,train
197,2958,train
198,15954,train
199,14136,train
200,7828,train
201,20902,train
202,24992,train
203,15105,train
204,29556,train
205,14656,train
206,29977,train
207,28247,train
208,7169,train
209,5763,train
210,22532,train
211,17846,train
212,10517,train
213,27696,train
214,17175,train
215,12435,train
216,7681,train
217,17130,train
218,10925,train
219,10366,train
220,18725,train
221,18608,train
222,29912,train
223,3371,train
224,9483,train
225,23016,train
226,29238,train
227,23764,train
228,15303,train
229,18243,train
230,21630,train
231,21826,train
232,18175,train
233,13228,train
234,11639,train
235,2059,train
236,20225,train
237,8442,train
238,25366,train
239,18322,train
240,28836,train
241,4001,train
242,3963,train
243,7001,train
244,3370,train
245,4406,train
246,28613,train
247,17919,train
248,28227,train
249,7936,train
250,18052,train
251,20925,train
252,22240,train
253,7027,train
254,16027,train
255,23233,train
256,13906,train
257,28152,train
258,24128,train
259,10967,train
260,25532,train
261,9155,train
262,24843,train
263,10903,train
264,25222,train
265,10957,train
266,9476,train
267,15341,train
268,7514,train
269,6584,train
270,3810,train
271,11471,train
272,29350,train
273,11844,train
274,6821,train
275,26767,train
276,11729,train
277,5933,train
278,17566,train
279,4412,train
280,25169,train
281,7025,train
282,17936,train
283,13346,train
284,15101,train
285,29082,train
286,12441,train
287,17604,train
288,16869,train
289,23349,train
290,8935,train
291,15113,train
292,25182,train
293,16692,train
294,9261,train
295,12644,train
296,26733,train
297,8294,train
298,15332,train
299,5232,train
300,26999,train
301,14259,train
302,15081,train
303,29718,train
304,8985,train
305,12771,train
306,4760,train
307,11980,train
308,9272,train
309,16834,train
310,13915,train
311,2523,train
312,21045,train
313,11394,train
314,29756,train
315,22933,train
316,8205,train
317,20125,train
318,29775,train
319,4272,train
320,5319,train
321,20549,train
322,7689,train
323,29558,train
324,22211,train
325,15464,train
326,11772,train
327,2121,train
328,27750,train
329,178,train
330,2134,train
331,8884,train
332,4653,train
333,26472,train
334,776,train
335,20387,train
336,25254,train
337,20509,train
338,24033,train
339,25317,train
340,17706,train
341,14576,train
342,20088,train
343,3206,train
344,16893,train
345,24105,train
346,1652,train
347,12432,train
348,22240,train
349,16965,train
350,29599,train
351,19997,train
352,16000,train
353,11643,train
354,20605,train
355,20709,train
356,10751,train
357,1898,train
358,21670,train
359,7133,train
360,28469,train
361,29033,train
362,28975,train
363,4971,train
364,11306,train
365,22234,train
366,16857,train
367,9337,train
368,18084,train
369,8501,train
370,18813,train
371,8555,train
372,4224,train
373,22435,train
374,24276,train
375,26331,train
376,29648,train
377,2352,train
378,6890,train
379,20401,train
380,756,train
381,6456,train
382,21303,train
383,24402,train
384,22746,train
385,37,train
386,6132,train
387,9475,train
388,2465,train
389,9,train
390,28620,train
391,15842,train
392,19,train
393,10142,train
394,27694,train
395,6753,train
396,28692,train
397,9363,train
398,14216,train
399,16671,train
400,14640,train
401,17780,train
402,761,train
403,21449,train
404,12978,train
405,19327,train
406,24004,train
407,28101,train
408,15093,train
409,11983,train
410,25344,train
411,19491,train
412,18588,train
413,1098,train
414,25482,train
415,9653,train
416,22366,train
417,1705,train
418,29332,train
419,16574,train
420,25447,train
421,1747,train
422,26982,train
423,2094,train
424,6078,train
425,21139,train
426,16119,train
427,17808,train
428,2111,train
429,6526,train
430,22875,train
431,23285,train
432,1331,train
433,17482,train
434,17301,train
435,634,train
436,25253,train
437,4338,train
438,25475,train
439,7223,train
440,8920,train
441,4316,train
442,6164,train
443,10643,train
444,18079,train
445,1094,train
446,9314,train
447,7348,train
448,11176,train
449,26439,train
450,11810,train
451,15590,train
452,24621,train
453,15269,train
454,22956,train
455,22229,train
456,25110,train
457,26529,train
458,4015,train
459,14335,train
460,19927,train
461,12599,train
462,21170,train
463,13822,train
464,29989,train
465,25944,train
