,index,set
0,24342,train
1,11008,train
2,6942,train
3,14948,train
4,2487,train
5,5321,train
6,1423,train
7,26710,train
8,29706,train
9,20912,train
10,26575,train
11,16141,train
12,19612,train
13,3273,train
14,4068,train
15,25056,train
16,24316,train
17,6559,train
18,1515,train
19,22727,train
20,13619,train
21,5375,train
22,15582,train
23,20520,train
24,22298,train
25,28346,train
26,2651,train
27,2674,train
28,18572,train
29,5642,train
30,524,train
31,21917,train
32,8414,train
33,13115,train
34,26750,train
35,10148,train
36,13721,train
37,2615,train
38,20707,train
39,6864,train
40,7111,train
41,15004,train
42,24241,train
43,11659,train
44,12077,train
45,3566,train
46,25717,train
47,4759,train
48,4621,train
49,23777,train
50,14794,train
51,9801,train
52,18076,train
53,18838,train
54,7065,train
55,22123,train
56,24431,train
57,7450,train
58,12544,train
59,28740,train
60,17558,train
61,27071,train
62,19038,train
63,27028,train
64,5017,train
65,14416,train
66,14093,train
67,16644,train
68,15168,train
69,15022,train
70,12915,train
71,20890,train
72,28297,train
73,13285,train
74,2098,train
75,1086,train
76,863,train
77,22638,train
78,17995,train
79,21004,train
80,4585,train
81,16865,train
82,9436,train
83,12515,train
84,8615,train
85,19104,train
86,7895,train
87,22627,train
88,23114,train
89,28314,train
90,21847,train
91,26835,train
92,10550,train
93,27502,train
94,26468,train
95,27332,train
96,13178,train
97,7848,train
98,18105,train
99,8818,train
100,7297,train
101,7831,train
102,16871,train
103,655,train
104,28027,train
105,24529,train
106,3649,train
107,7333,train
108,24705,train
109,9289,train
110,16990,train
111,29731,train
112,26406,train
113,14967,train
114,24979,train
115,18804,train
116,1956,train
117,11813,train
118,407,train
119,13450,train
120,2750,train
121,10580,train
122,4500,train
123,609,train
124,1400,train
125,1618,train
126,28863,train
127,19412,train
128,29505,train
129,25249,train
130,18931,train
131,25173,train
132,17028,train
133,29153,train
134,3527,train
135,5002,train
136,11627,train
137,3649,train
138,28239,train
139,17678,train
140,5920,train
141,5979,train
142,24736,train
143,21545,train
144,5401,train
145,24716,train
146,26934,train
147,4224,train
148,11306,train
149,25949,train
150,17975,train
151,14304,train
152,3142,train
153,20816,train
154,4578,train
155,15302,train
156,28229,train
157,17190,train
158,22092,train
159,23579,train
160,21216,train
161,12529,train
162,12551,train
163,5873,train
164,13866,train
165,23673,train
166,26568,train
167,17093,train
168,24210,train
169,795,train
170,4406,train
171,8707,train
172,16650,train
173,13051,train
174,24955,train
175,16034,train
176,23245,train
177,10154,train
178,14437,train
179,205,train
180,23909,train
181,23496,train
182,21048,train
183,20179,train
184,15519,train
185,10109,train
186,5975,train
187,25867,train
188,24241,train
189,1219,train
190,19770,train
191,7472,train
192,7332,train
193,1392,train
194,6744,train
195,22580,train
196,16020,train
197,14821,train
198,21930,train
199,29539,train
200,5551,train
201,23026,train
202,3368,train
203,13236,train
204,29835,train
205,15809,train
206,12863,train
207,4521,train
208,19106,train
209,27597,train
210,16900,train
211,4112,train
212,14202,train
213,25429,train
214,9080,train
215,2685,train
216,23624,train
217,7443,train
218,14640,train
219,4996,train
220,6207,train
221,19134,train
222,25306,train
223,191,train
224,25226,train
225,9551,train
226,8579,train
227,12073,train
228,9941,train
229,22722,train
230,12654,train
231,6147,train
232,15296,train
233,1609,train
234,8920,train
235,4848,train
236,7752,train
237,7160,train
238,29793,train
239,21637,train
240,16460,train
241,4225,train
242,13248,train
243,27918,train
244,22073,train
245,24180,train
246,6430,train
247,27913,train
248,3206,train
249,23735,train
250,5536,train
251,23089,train
252,23026,train
253,3768,train
254,23687,train
255,10300,train
256,14099,train
257,21513,train
258,3829,train
259,7209,train
260,26642,train
261,5507,train
262,2773,train
263,11405,train
264,14151,train
265,15736,train
266,105,train
267,26257,train
268,19137,train
269,8939,train
270,17110,train
271,4471,train
272,8627,train
273,20124,train
274,28965,train
275,21734,train
276,2672,train
277,12722,train
278,6164,train
279,19798,train
280,1151,train
281,28400,train
282,10267,train
283,21322,train
284,12794,train
285,18463,train
286,28753,train
287,25646,train
288,2401,train
289,22868,train
