index,set
24161,train
24047,train
23634,train
28246,train
24152,train
7072,train
28828,train
25068,train
22878,train
25697,train
17447,train
22769,train
9542,train
14229,train
24207,train
17006,train
23117,train
18527,train
2077,train
10803,train
6080,train
335,train
2560,train
15448,train
24691,train
25603,train
5605,train
6559,train
17345,train
1873,train
8066,train
21743,train
12770,train
19785,train
10277,train
18877,train
18117,train
24,train
23405,train
14405,train
26689,train
14837,train
29908,train
28604,train
13231,train
6711,train
2147,train
10035,train
18285,train
22502,train
361,train
26700,train
29706,train
4802,train
26212,train
26315,train
8280,train
18499,train
17272,train
4137,train
28943,train
6632,train
3693,train
24732,train
11361,train
20975,train
3453,train
26047,train
22002,train
24098,train
23856,train
624,train
25111,train
16564,train
25386,train
15332,train
27101,train
16986,train
15613,train
10039,train
15626,train
7377,train
26399,train
21485,train
6970,train
18061,train
1577,train
17213,train
27633,train
25182,train
8114,train
5080,train
12913,train
29136,train
16468,train
4104,train
22757,train
28145,train
25576,train
759,train
2842,train
7726,train
8983,train
15856,train
17787,train
22740,train
7832,train
107,train
22097,train
13853,train
2816,train
6927,train
7046,train
18766,train
4605,train
21214,train
22482,train
2,train
4530,train
27002,train
1326,train
6598,train
12148,train
9433,train
11868,train
10533,train
1144,train
19977,train
14646,train
341,train
13022,train
17030,train
10168,train
26191,train
1828,train
23122,train
7713,train
23354,train
26367,train
19259,train
25341,train
2910,train
14188,train
3749,train
28380,train
18743,train
29362,train
16630,train
5711,train
29431,train
3872,train
28397,train
13545,train
6546,train
7051,train
10835,train
9682,train
24156,train
29469,train
23827,train
24428,train
4677,train
5794,train
10380,train
17939,train
3509,train
15487,train
21081,train
21058,train
29873,train
24784,train
8375,train
10873,train
14405,train
23126,train
16948,train
13488,train
20916,train
22189,train
5803,train
25146,train
1428,train
22000,train
7618,train
11218,train
6590,train
28960,train
3187,train
3804,train
20901,train
8494,train
17597,train
20843,train
25329,train
21274,train
28144,train
7781,train
4698,train
2706,train
27306,train
5638,train
19809,train
23924,train
10744,train
23139,train
23180,train
11226,train
8561,train
8046,train
5164,train
2962,train
11166,train
14944,train
29504,train
17829,train
17113,train
21260,train
18369,train
4159,train
