index,set
6003,train
2210,train
24819,train
27854,train
18822,train
26005,train
3413,train
9488,train
10985,train
2055,train
5630,train
838,train
10381,train
752,train
21925,train
29054,train
13636,train
28250,train
29743,train
16699,train
2807,train
3697,train
7622,train
18574,train
4194,train
8048,train
26325,train
22533,train
10838,train
9396,train
27477,train
12440,train
1398,train
6616,train
16673,train
20292,train
18789,train
6294,train
24116,train
28559,train
8391,train
18473,train
11057,train
18691,train
26577,train
28209,train
10989,train
26598,train
10886,train
14469,train
8023,train
1378,train
14606,train
18592,train
18011,train
27788,train
5137,train
26522,train
8866,train
1929,train
20887,train
26938,train
19466,train
13579,train
6743,train
20762,train
24732,train
5917,train
9615,train
17591,train
26407,train
9145,train
19353,train
23838,train
1727,train
4896,train
9548,train
22669,train
29768,train
3573,train
8890,train
6212,train
278,train
23710,train
18865,train
1477,train
25449,train
22668,train
13374,train
26338,train
29916,train
2227,train
20828,train
24726,train
20724,train
8611,train
6898,train
5983,train
24468,train
19022,train
23052,train
22999,train
1791,train
5316,train
3227,train
4048,train
8167,train
5762,train
17022,train
27328,train
21650,train
24096,train
27173,train
3662,train
16827,train
7701,train
9144,train
28692,train
3372,train
9527,train
20362,train
13638,train
8381,train
1493,train
26280,train
13301,train
23622,train
9559,train
19625,train
4333,train
5055,train
19122,train
29468,train
6285,train
12831,train
18538,train
13528,train
22993,train
3067,train
16639,train
1768,train
14198,train
2290,train
26164,train
25289,train
17757,train
5315,train
9805,train
18765,train
16470,train
7481,train
19879,train
16393,train
24527,train
4137,train
3670,train
840,train
27633,train
26774,train
14033,train
168,train
18331,train
13620,train
20040,train
29138,train
708,train
2215,train
16749,train
16918,train
15702,train
10855,train
4012,train
26338,train
6165,train
9658,train
24233,train
6556,train
4817,train
13889,train
19141,train
14325,train
29549,train
25865,train
10390,train
25874,train
5240,train
19183,train
8633,train
24671,train
13996,train
23283,train
13531,train
1569,train
3493,train
17413,train
23293,train
23940,train
6888,train
12805,train
14108,train
19897,train
3683,train
13732,train
7210,train
12957,train
19991,train
13881,train
6239,train
5552,train
28155,train
3774,train
29024,train
29480,train
12477,train
321,train
6178,train
20750,train
17399,train
11873,train
3577,train
15190,train
8282,train
24483,train
29628,train
24552,train
28531,train
15320,train
5536,train
27949,train
8249,train
17345,train
10087,train
4050,train
16958,train
21669,train
11043,train
16760,train
21301,train
23406,train
17117,train
7602,train
23544,train
7911,train
21670,train
25638,train
4943,train
27209,train
22767,train
16460,train
21701,train
14931,train
26731,train
28011,train
18985,train
12576,train
11453,train
16151,train
24585,train
8049,train
16687,train
12650,train
1625,train
4323,train
753,train
880,train
23531,train
23909,train
18985,train
21057,train
11988,train
23986,train
29065,train
5430,train
14570,train
23920,train
9596,train
29666,train
27891,train
14455,train
4535,train
24394,train
22326,train
675,train
10663,train
27263,train
10456,train
27120,train
2120,train
21367,train
7738,train
4062,train
20768,train
19848,train
6640,train
589,train
19467,train
29768,train
22425,train
23799,train
12867,train
21576,train
9969,train
14646,train
14913,train
25,train
18758,train
27612,train
27413,train
17624,train
18193,train
19603,train
23657,train
3246,train
13475,train
28331,train
21409,train
2074,train
17750,train
18344,train
23040,train
1232,train
5672,train
15321,train
14215,train
5872,train
10895,train
25447,train
1663,train
