index,set
20017,train
12927,train
4440,train
8695,train
8142,train
25179,train
26410,train
14364,train
9885,train
16780,train
3672,train
22315,train
27001,train
11488,train
29822,train
22671,train
2924,train
22114,train
128,train
29898,train
29819,train
3104,train
3565,train
28892,train
20980,train
11516,train
21644,train
18023,train
12234,train
3056,train
4658,train
25456,train
16791,train
5766,train
17676,train
12198,train
20591,train
17078,train
457,train
21693,train
19435,train
8396,train
8861,train
14798,train
2431,train
12124,train
11193,train
20890,train
11606,train
2971,train
1657,train
23001,train
17957,train
6992,train
19476,train
7916,train
24773,train
3217,train
19645,train
17130,train
3967,train
1419,train
17823,train
19507,train
20613,train
2499,train
18499,train
16922,train
6763,train
232,train
20316,train
3044,train
2984,train
22621,train
23771,train
22862,train
8387,train
3440,train
20996,train
1535,train
2274,train
8944,train
11042,train
1158,train
9846,train
10871,train
19930,train
19704,train
26800,train
21528,train
23074,train
14442,train
28083,train
10764,train
29766,train
4983,train
2918,train
23035,train
15638,train
803,train
21117,train
20147,train
2444,train
2010,train
10749,train
17396,train
17666,train
1349,train
10442,train
23667,train
28638,train
3065,train
25660,train
15710,train
10649,train
17371,train
6955,train
18709,train
9077,train
18138,train
658,train
3290,train
6453,train
7449,train
28409,train
18226,train
7833,train
22520,train
18577,train
1505,train
27098,train
10968,train
13218,train
12711,train
9661,train
28822,train
10349,train
739,train
24047,train
18744,train
3417,train
27936,train
17102,train
29098,train
26408,train
14817,train
3393,train
782,train
3315,train
9623,train
16190,train
7010,train
6388,train
14859,train
25568,train
27041,train
21953,train
26723,train
15355,train
23042,train
11486,train
12133,train
17902,train
21668,train
25672,train
20383,train
29430,train
8458,train
23896,train
25457,train
5311,train
8130,train
10922,train
11596,train
4238,train
20530,train
2576,train
9192,train
8651,train
1531,train
2340,train
26944,train
958,train
24605,train
28825,train
14158,train
14060,train
28232,train
29211,train
8694,train
8216,train
25918,train
1469,train
27343,train
8374,train
9546,train
3840,train
27379,train
23199,train
6309,train
1971,train
4183,train
24309,train
15475,train
15033,train
28402,train
7667,train
2460,train
2919,train
21293,train
7877,train
26753,train
5034,train
9768,train
28913,train
16819,train
10361,train
1189,train
20530,train
1821,train
20252,train
7727,train
14835,train
5951,train
12491,train
11371,train
17615,train
24128,train
4023,train
14476,train
13321,train
19176,train
16238,train
24349,train
24144,train
19356,train
24250,train
27620,train
3270,train
11722,train
3152,train
9821,train
16088,train
15192,train
9011,train
9130,train
4970,train
274,train
27596,train
16605,train
11863,train
7003,train
12419,train
28733,train
835,train
7852,train
19807,train
23410,train
29993,train
23393,train
5381,train
610,train
16876,train
13564,train
6398,train
21905,train
24446,train
22452,train
3991,train
13786,train
24890,train
13567,train
27832,train
16429,train
11576,train
21259,train
21186,train
4542,train
7712,train
3926,train
14853,train
