index,set
19023,train
1976,train
19942,train
18379,train
18593,train
8829,train
15007,train
1337,train
13207,train
13140,train
19799,train
13068,train
8967,train
3712,train
26785,train
2255,train
17687,train
6241,train
22666,train
27271,train
6234,train
27854,train
19562,train
4614,train
29099,train
8115,train
26207,train
27912,train
26170,train
397,train
29768,train
24669,train
19435,train
11044,train
2568,train
23677,train
9194,train
19877,train
21966,train
6956,train
24362,train
8759,train
10802,train
7502,train
24563,train
13984,train
8961,train
29410,train
5103,train
23052,train
26708,train
2668,train
19237,train
27743,train
9486,train
20306,train
3510,train
29362,train
24828,train
6021,train
27619,train
3637,train
24654,train
7613,train
23755,train
2579,train
15355,train
20455,train
11195,train
28141,train
19535,train
26459,train
3555,train
6483,train
11602,train
9754,train
8467,train
7512,train
28630,train
29720,train
23555,train
28752,train
17578,train
27942,train
6713,train
3417,train
21723,train
20379,train
14484,train
28956,train
10348,train
10698,train
23722,train
1708,train
17719,train
2019,train
15486,train
20660,train
17793,train
12444,train
29847,train
11194,train
10603,train
22658,train
2600,train
15626,train
9105,train
22813,train
15632,train
20267,train
3967,train
23505,train
27646,train
28161,train
13635,train
3161,train
26645,train
21130,train
18261,train
27844,train
7273,train
27617,train
9472,train
28041,train
22389,train
19021,train
10227,train
23320,train
19347,train
28407,train
26996,train
27353,train
18566,train
12166,train
22256,train
12917,train
23156,train
20190,train
28204,train
17252,train
155,train
12546,train
19754,train
12520,train
974,train
20077,train
27534,train
27572,train
7489,train
22138,train
2633,train
7570,train
26347,train
2517,train
20193,train
3314,train
17908,train
18252,train
551,train
29385,train
21111,train
11306,train
16944,train
9682,train
724,train
6909,train
22093,train
21470,train
6136,train
17288,train
6844,train
10037,train
12611,train
7907,train
12547,train
4584,train
17409,train
13312,train
12245,train
1651,train
21010,train
4262,train
21403,train
26259,train
12639,train
400,train
14842,train
23169,train
25941,train
329,train
8241,train
2412,train
21593,train
25062,train
29763,train
1522,train
26464,train
1880,train
1112,train
21843,train
1586,train
27432,train
10728,train
21661,train
18552,train
27850,train
5270,train
20971,train
28883,train
24851,train
6606,train
10172,train
25486,train
25900,train
24090,train
24417,train
11759,train
13139,train
13849,train
25331,train
2195,train
3292,train
24602,train
12108,train
15340,train
4785,train
19605,train
4879,train
3488,train
15389,train
2669,train
3202,train
17949,train
8438,train
16125,train
8466,train
7087,train
4246,train
9671,train
12353,train
27610,train
23211,train
14521,train
15380,train
26405,train
4610,train
29330,train
4226,train
1877,train
765,train
29515,train
18297,train
14123,train
14838,train
21877,train
13294,train
12319,train
10427,train
9509,train
22145,train
7966,train
4689,train
22447,train
13816,train
14089,train
9077,train
13429,train
20238,train
22069,train
12415,train
29021,train
26592,train
21288,train
19129,train
6863,train
25961,train
28542,train
15366,train
24268,train
25079,train
533,train
26871,train
6830,train
29559,train
4864,train
25634,train
12982,train
364,train
15507,train
706,train
7723,train
22197,train
17293,train
8670,train
21324,train
29644,train
28105,train
14609,train
13158,train
23029,train
19439,train
12838,train
26760,train
13459,train
5606,train
7727,train
2232,train
16478,train
8131,train
28626,train
27127,train
25578,train
21442,train
22048,train
19405,train
9705,train
19668,train
15503,train
27632,train
24606,train
29057,train
23158,train
17785,train
7767,train
29836,train
4465,train
114,train
4667,train
19469,train
9150,train
20384,train
22676,train
7580,train
28112,train
29934,train
11433,train
29428,train
10827,train
27903,train
4190,train
8527,train
10566,train
23760,train
15785,train
15202,train
19718,train
26439,train
22006,train
25502,train
1653,train
14476,train
23146,train
26305,train
15795,train
4165,train
21950,train
18321,train
12012,train
24316,train
1818,train
8478,train
6505,train
10838,train
1418,train
12952,train
25431,train
23353,train
1816,train
27063,train
20194,train
20609,train
2586,train
19624,train
12342,train
16320,train
17631,train
1016,train
28780,train
3275,train
15181,train
934,train
1923,train
13236,train
27239,train
3602,train
8596,train
25774,train
18735,train
23817,train
12950,train
11453,train
29043,train
21785,train
8221,train
966,train
23720,train
16008,train
26630,train
27304,train
6790,train
13473,train
10055,train
23794,train
16732,train
4980,train
27062,train
6520,train
27054,train
5870,train
15187,train
10959,train
21986,train
17992,train
25205,train
14271,train
17029,train
17208,train
19838,train
6510,train
11350,train
9334,train
8411,train
10417,train
15985,train
16272,train
26632,train
19868,train
16201,train
15871,train
14249,train
16544,train
20686,train
8478,train
18744,train
1083,train
6305,train
5322,train
12298,train
25502,train
8391,train
3477,train
19765,train
7612,train
13402,train
15030,train
29409,train
16760,train
6620,train
17991,train
10515,train
13969,train
5533,train
15852,train
18302,train
2226,train
20971,train
28216,train
19141,train
19685,train
28778,train
27543,train
11828,train
5205,train
18055,train
28742,train
9590,train
7128,train
25567,train
5574,train
21474,train
18634,train
10458,train
12567,train
15493,train
16003,train
1407,train
13083,train
27009,train
3329,train
28851,train
16138,train
12188,train
13831,train
3428,train
28709,train
23459,train
28512,train
18794,train
960,train
14128,train
10053,train
22872,train
1956,train
16487,train
27270,train
10580,train
583,train
29131,train
12855,train
24358,train
10370,val
24127,val
2688,val
25939,val
6866,val
13556,val
7006,val
17022,val
24812,val
29507,val
21580,val
21100,val
8405,val
18366,val
7551,val
19805,val
2670,val
20781,val
20862,val
17150,val
13063,val
20598,val
18866,val
19455,val
4288,val
5839,val
13514,val
179,val
4707,val
24317,val
11520,val
25977,val
21912,val
11364,val
2294,val
584,val
25695,val
4578,val
20386,val
1533,val
11742,val
22339,val
22796,val
8137,val
28374,val
26914,val
5596,val
23940,val
9861,val
8725,val
9100,val
19309,val
10376,val
3726,val
13610,val
4494,val
11591,val
11614,val
8136,val
7694,val
20082,val
6768,val
28657,val
22572,val
4729,val
29183,val
1700,val
5532,val
17708,val
11179,val
9727,val
4613,val
10958,val
4930,val
22467,val
3632,val
25140,val
10794,val
597,val
25615,val
21670,val
5534,val
22274,val
29672,val
10609,val
21626,val
29368,val
19066,val
628,val
25923,val
26843,val
15619,val
17561,val
9467,val
22237,val
6591,val
5292,val
13872,val
20212,val
11647,val
22794,val
5106,val
7750,val
17053,val
14201,val
24645,val
2906,val
10483,val
3866,test
2919,test
1372,test
2945,test
1346,test
3291,test
2098,test
1304,test
104,test
3722,test
1234,test
1746,test
1429,test
2051,test
4401,test
3920,test
1328,test
1776,test
1700,test
4010,test
4496,test
1657,test
2482,test
1800,test
1826,test
3106,test
3530,test
1481,test
4310,test
4648,test
3778,test
1321,test
4735,test
3109,test
108,test
2207,test
3114,test
2726,test
4841,test
158,test
4515,test
893,test
1007,test
4920,test
3142,test
3422,test
1806,test
3034,test
4419,test
3640,test
1710,test
766,test
2816,test
873,test
458,test
3489,test
4840,test
1740,test
2921,test
1826,test
4608,test
2235,test
4768,test
1501,test
4920,test
3020,test
2717,test
807,test
4273,test
2029,test
4145,test
629,test
3307,test
2435,test
4489,test
4922,test
1249,test
4321,test
3501,test
4644,test
103,test
1363,test
2819,test
3062,test
476,test
3669,test
4948,test
4467,test
4381,test
3932,test
3905,test
3214,test
1630,test
2132,test
1884,test
1447,test
758,test
2975,test
2285,test
2148,test
3837,test
2257,test
3270,test
2072,test
1830,test
2755,test
3284,test
2417,test
