index,set
14289,train
24761,train
17054,train
12769,train
1795,train
29704,train
24540,train
24656,train
17214,train
21637,train
1633,train
8965,train
18621,train
12372,train
19212,train
11390,train
23630,train
17643,train
25576,train
649,train
11144,train
17385,train
7562,train
6548,train
19603,train
6694,train
15773,train
29703,train
3103,train
22495,train
21030,train
25787,train
14526,train
944,train
9058,train
1008,train
18688,train
15831,train
23222,train
11515,train
13216,train
21182,train
10556,train
26240,train
18035,train
21392,train
18751,train
37,train
13232,train
508,train
22030,train
3558,train
5123,train
20847,train
27976,train
16325,train
8531,train
27543,train
13960,train
19779,train
7573,train
12668,train
3760,train
27559,train
26662,train
24537,train
25425,train
7066,train
26216,train
8603,train
15544,train
28195,train
23090,train
9517,train
23086,train
2968,train
18792,train
13667,train
4052,train
18434,train
16645,train
26564,train
770,train
17754,train
11409,train
18519,train
26441,train
25041,train
16251,train
10629,train
19116,train
2539,train
9451,train
16651,train
27863,train
17575,train
13557,train
16960,train
8443,train
1646,train
7112,train
17579,train
15546,train
9235,train
18914,train
9103,train
4154,train
11331,train
17517,train
885,train
29220,train
2754,train
29232,train
19540,train
17830,train
17006,train
22044,train
10257,train
29248,train
12028,train
12131,train
14767,train
19959,train
16253,train
18121,train
7011,train
27027,train
7013,train
14163,train
27940,train
9275,train
20779,train
23360,train
14419,train
7681,train
27982,train
4172,train
2218,train
11579,train
3736,train
9483,train
3390,train
21281,train
27770,train
27350,train
6029,train
2843,train
29683,train
15946,train
2770,train
1030,train
25433,train
461,train
23802,train
27776,train
28034,train
1249,train
14559,train
6814,train
11308,train
2266,train
13421,train
1077,train
16785,train
25794,train
11175,train
21166,train
16249,train
8571,train
25912,train
10464,train
1013,train
11542,train
28027,train
28865,train
442,train
7771,train
4293,train
20290,train
22928,train
25896,train
3192,train
1592,train
3699,train
5903,train
8082,train
29676,train
20510,train
6680,train
7178,train
9433,train
4496,train
29057,train
5399,train
19566,train
20706,train
10238,train
13468,train
27225,train
6048,train
17691,train
17630,train
9542,train
20649,train
3691,train
3554,train
26734,train
1617,train
8674,train
12677,train
28147,train
3955,train
24217,train
6522,train
16725,train
24237,train
21943,train
28470,train
3106,train
3713,train
26275,train
1340,train
10905,train
24518,train
8418,train
5097,train
3856,train
1241,train
7702,train
775,train
17153,train
5813,train
19357,train
66,train
29407,train
28856,train
23810,train
10239,train
10343,train
11790,train
24742,train
5105,train
15182,train
22630,train
26608,train
26581,train
16533,train
4756,train
23164,train
7935,train
7520,train
9973,train
11566,train
22359,train
25973,train
3422,train
10445,train
19044,train
3881,train
7873,train
3512,train
12307,train
3654,train
16053,train
18453,train
11005,train
22582,train
27468,train
2526,train
19226,train
15493,train
16422,train
3504,train
14753,train
21544,train
21652,train
16102,train
17631,train
7679,train
21025,train
25277,train
2929,train
4464,train
26381,train
1834,train
29130,train
10176,train
23618,train
22668,train
3332,train
17938,train
27728,train
2285,train
17169,train
13367,train
20883,train
22173,train
21524,train
8362,train
10207,train
14495,train
12068,train
24223,train
13320,train
26576,train
26521,train
16934,train
10652,train
24960,train
22193,train
22829,train
7252,train
21871,train
1560,train
16939,train
20099,train
29834,train
18137,train
22399,train
1357,train
12634,train
20035,train
18259,train
17128,train
16027,train
19106,train
18530,train
19850,train
22514,train
11568,train
7808,train
25148,train
3277,train
10512,train
4791,train
15878,train
20913,train
2370,train
23872,train
17089,train
14814,train
26327,train
24828,train
12895,train
6541,train
23222,train
17755,train
25320,train
13347,train
6974,train
16119,train
838,train
15915,train
439,train
303,train
13139,train
9342,train
6934,train
130,train
23108,train
24798,train
11243,train
22255,train
29337,train
3032,train
14572,train
18799,train
13654,train
5466,train
24468,train
28967,train
15275,train
23247,train
24393,train
15805,train
26634,train
4750,train
19462,train
26092,train
29203,train
14855,train
29954,train
23181,train
9110,train
17924,train
8535,train
14950,train
11073,train
10126,train
28562,train
27845,train
23868,train
21963,train
3711,train
25856,train
12328,train
23319,train
29288,train
9513,train
28448,train
28730,train
7725,train
7474,train
12858,train
26187,train
18016,train
27182,train
12029,train
22114,train
13480,train
22482,train
11850,train
29350,train
28977,train
11465,train
26674,train
28275,train
12428,train
15159,train
18671,train
25738,train
7904,train
7531,train
12098,train
8280,train
14068,train
27144,train
29947,train
6159,train
28145,train
12312,train
5326,train
2793,train
12674,train
17248,train
1954,train
12360,train
120,train
16282,train
570,train
24390,train
20611,train
27227,train
22823,train
26,train
7926,train
1582,train
2234,train
15370,train
8301,train
27863,train
24574,train
4579,train
20516,train
27151,train
9686,train
895,train
26246,train
1414,train
3612,train
18861,train
28547,train
21498,train
1040,train
427,train
24454,train
24396,train
12521,train
21824,train
2970,train
6595,train
4913,train
28334,train
25108,train
9282,train
22459,train
7893,train
17126,train
20001,train
9829,train
21362,train
25705,train
23791,train
226,train
12686,train
15922,train
21276,train
19192,train
234,train
2203,train
1799,train
28133,train
5243,train
20550,train
14100,train
23427,train
8434,train
11925,train
3548,train
10650,train
14736,val
15711,val
21139,val
788,val
