,index,set
0,12104,train
1,22718,train
2,4050,train
3,17681,train
4,9346,train
5,1709,train
6,14715,train
7,16558,train
8,22173,train
9,14186,train
10,8795,train
11,4409,train
12,27612,train
13,3047,train
14,14377,train
15,3689,train
16,25411,train
17,24680,train
18,27050,train
19,13631,train
20,17352,train
21,13037,train
22,23165,train
23,14642,train
24,29700,train
25,19602,train
26,16830,train
27,29971,train
28,10393,train
29,14106,train
30,6343,train
31,24708,train
32,27734,train
33,18062,train
34,3912,train
35,25656,train
36,14391,train
37,26910,train
38,23664,train
39,21412,train
40,4250,train
41,15816,train
42,16095,train
43,9224,train
44,4485,train
45,17856,train
46,29454,train
47,3683,train
48,9546,train
49,1675,train
50,3832,train
51,18071,train
52,28688,train
53,10296,train
54,22418,train
55,8331,train
56,17978,train
57,24313,train
58,23546,train
59,25865,train
60,4104,train
61,11636,train
62,2801,train
63,17286,train
64,21051,train
65,8286,train
66,14015,train
67,15810,train
68,15393,train
69,18170,train
70,2574,train
71,28926,train
72,25292,train
73,9146,train
74,7795,train
75,4442,train
76,23679,train
77,26249,train
78,23903,train
79,13729,train
80,12860,train
81,7962,train
82,29023,train
83,6555,train
84,12594,train
85,10504,train
86,18420,train
87,21592,train
88,4606,train
89,21513,train
90,10384,train
91,23056,train
92,26693,train
93,9303,train
94,17453,train
95,21725,train
96,3370,train
97,10993,train
98,10923,train
99,18967,train
100,1930,train
101,21348,train
102,4411,train
103,23661,train
104,24379,train
105,16898,train
106,15321,train
107,12938,train
108,6331,train
109,16933,train
110,5570,train
111,10433,train
112,24646,train
113,20535,train
114,26418,train
115,12380,train
116,11199,train
117,7650,train
118,6807,train
119,26120,train
120,26596,train
121,23408,train
122,26145,train
123,27543,train
124,23754,train
125,1712,train
126,417,train
127,25460,train
128,19921,train
129,7608,train
130,5799,train
131,9182,train
132,142,train
133,18266,train
134,10497,train
135,957,train
136,8052,train
137,1811,train
138,12462,train
139,28972,train
140,24000,train
141,877,train
142,27410,train
143,10395,train
144,6182,train
145,10866,train
146,18945,train
147,5490,train
148,26609,train
149,6529,train
150,5412,train
151,13191,train
152,26976,train
153,27578,train
154,18238,train
155,4629,train
156,17598,train
157,9956,train
158,15998,train
159,2312,train
160,14371,train
161,16060,train
162,224,train
163,19429,train
164,14324,train
165,16145,train
166,29803,train
167,7457,train
168,17227,train
169,22568,train
170,14694,train
171,26686,train
172,9737,train
173,9854,train
174,8382,train
175,8085,train
176,2941,train
177,13918,train
178,14648,train
179,23460,train
180,20656,train
181,13862,train
182,2033,train
183,304,train
184,22316,train
185,10035,train
186,12022,train
187,9570,train
188,22014,train
189,15063,train
190,27574,train
191,26364,train
192,15823,train
193,8673,train
194,19749,train
195,15049,train
196,5011,train
197,15949,train
198,8208,train
199,5432,train
200,3843,train
201,26805,train
202,4349,train
203,19134,train
204,12408,train
205,17698,train
206,14644,train
207,21757,train
208,7642,train
209,2443,train
210,10966,train
211,15938,train
212,23394,train
213,20214,train
214,16491,train
215,20677,train
216,18972,train
217,25129,train
218,24253,train
219,4170,train
220,27184,train
221,15690,train
222,16496,train
223,8251,train
224,23697,train
225,11422,train
226,18638,train
227,24082,train
228,26939,train
229,22524,train
230,2664,train
231,3795,train
232,24175,train
233,19139,train
234,3968,train
235,12546,train
236,13832,train
237,23749,train
238,26456,train
239,22959,train
240,18504,train
241,23001,train
242,29554,train
243,10848,train
244,27305,train
245,9076,train
246,21741,train
247,7317,train
248,9084,train
249,8447,train
250,1162,train
251,7404,train
252,17142,train
253,1519,train
254,24655,train
255,21832,train
256,3339,train
257,21298,train
258,20152,train
259,8981,train
260,24221,train
261,15127,train
262,7657,train
263,7482,train
264,20841,train
265,8405,train
266,23855,train
267,12212,train
268,2584,train
269,2478,train
270,13188,train
271,13219,train
272,16443,train
273,5856,train
274,15264,train
275,22743,train
276,11636,train
277,6482,train
278,13410,train
279,4636,train
280,50,train
281,9767,train
282,27237,train
283,11379,train
284,2895,train
285,0,train
286,20611,train
287,11189,train
288,18835,train
289,12462,train
290,8521,train
291,6454,train
292,8851,train
293,25622,train
294,21396,train
295,7075,train
296,5685,train
297,25549,train
298,27884,train
299,7320,train
300,10736,train
301,5590,train
302,13340,train
303,15769,train
304,2336,train
305,10894,train
306,29694,train
307,22710,train
308,24687,train
309,8221,train
310,8387,train
311,9927,train
312,20468,train
313,13338,train
314,13831,train
315,11832,train
316,10049,train
317,19447,train
