,index,set
0,14561,train
1,22678,train
2,11523,train
3,754,train
4,4898,train
5,29553,train
6,12378,train
7,3942,train
8,18125,train
9,24585,train
10,17681,train
11,28576,train
12,3998,train
13,4537,train
14,23963,train
15,12731,train
16,23404,train
17,13091,train
18,20955,train
19,19753,train
20,29063,train
21,17595,train
22,11785,train
23,8167,train
24,5421,train
25,7752,train
26,22086,train
27,17644,train
28,17848,train
29,8445,train
30,23263,train
31,10885,train
32,3382,train
33,24845,train
34,12804,train
35,3404,train
36,20854,train
37,4111,train
38,9383,train
39,11618,train
40,10259,train
41,26088,train
42,23503,train
43,18133,train
44,18360,train
45,3096,train
46,20019,train
47,12539,train
48,7456,train
49,8873,train
50,10911,train
51,29665,train
52,28644,train
53,922,train
54,7254,train
55,24977,train
56,18086,train
57,29643,train
58,8447,train
59,21739,train
60,28560,train
61,19870,train
62,10926,train
63,17532,train
64,4280,train
65,11363,train
66,13778,train
67,14516,train
68,23024,train
69,14359,train
70,6479,train
71,9024,train
72,12735,train
73,23993,train
74,9990,train
75,28536,train
76,8049,train
77,6584,train
78,10146,train
79,22103,train
80,6842,train
81,27694,train
82,13625,train
83,7054,train
84,19150,train
85,22616,train
86,9303,train
87,15829,train
88,17619,train
89,20178,train
90,16639,train
91,10350,train
92,22335,train
93,26824,train
94,15895,train
95,14250,train
96,5848,train
97,20304,train
98,9708,train
99,26731,train
100,28229,train
101,20025,train
102,238,train
103,2572,train
104,19806,train
105,10738,train
106,10376,train
107,6301,train
108,8094,train
109,658,train
110,8306,train
111,635,train
112,12191,train
113,29140,train
114,19645,train
115,24798,train
116,22975,train
117,2620,train
118,8914,train
119,4079,train
120,27553,train
121,22420,train
122,5540,train
123,12315,train
124,463,train
125,1093,train
126,28774,train
127,11692,train
128,19383,train
129,25211,train
130,29021,train
131,29707,train
132,6001,train
133,13536,train
134,24963,train
135,6480,train
136,19244,train
137,3801,train
138,6628,train
139,3066,train
140,3128,train
141,10931,train
142,20868,train
143,27123,train
144,1107,train
145,12949,train
146,4820,train
147,10390,train
148,17932,train
149,22047,train
150,14397,train
151,17338,train
152,3683,train
153,9944,train
154,3481,train
155,13319,train
156,1399,train
157,26346,train
158,16765,train
159,21354,train
160,22957,train
161,17553,train
162,20333,train
163,463,train
164,17487,train
165,4644,train
166,11413,train
167,14312,train
168,12826,train
169,23636,train
170,13710,train
171,12545,train
172,13765,train
173,9487,train
174,25241,train
175,183,train
176,14580,train
177,1917,train
178,3430,train
179,10569,train
180,6276,train
181,2850,train
182,12135,train
183,13777,train
184,25696,train
185,22550,train
186,21537,train
187,25253,train
188,23327,train
189,3496,train
190,15859,train
191,8424,train
192,27541,train
193,23006,train
194,25568,train
195,9931,train
196,25026,train
197,10323,train
198,17671,train
199,27422,train
200,29171,train
201,22711,train
202,7038,train
203,8320,train
204,20340,train
205,22705,train
206,2230,train
207,3871,train
208,14549,train
209,22457,train
210,11661,train
211,3657,train
212,3028,train
213,7279,train
214,8335,train
215,12596,train
216,6736,train
217,7650,train
218,2079,train
219,10381,train
220,3983,train
221,10742,train
222,4932,train
223,5096,train
224,11009,train
225,15840,train
226,18469,train
227,20914,train
228,17236,train
229,7306,train
230,26552,train
231,17544,train
232,21861,train
233,3652,train
234,10792,train
235,7786,train
236,7333,train
237,18800,train
238,27768,train
239,6360,train
240,14809,train
241,18828,train
242,20756,train
243,16400,train
244,257,train
245,29891,train
246,10599,train
247,18948,train
248,6236,train
249,18636,train
250,25339,train
251,9111,train
252,6230,train
253,8646,train
254,9015,train
255,9346,train
256,4885,train
257,16603,train
258,5307,train
259,2428,train
260,11066,train
261,4032,train
262,9159,train
263,3286,train
264,18394,train
265,12341,train
266,3238,train
267,22072,train
268,27378,train
269,13581,train
270,8146,train
271,24850,train
272,29477,train
273,12521,train
274,19253,train
275,7117,train
276,18745,train
277,5172,train
278,8426,train
279,7470,train
280,20878,train
281,19616,train
282,179,train
283,8487,train
284,14613,train
285,16466,train
286,7707,train
287,18330,train
288,10717,train
289,9582,train
290,19256,train
291,25994,train
292,20081,train
293,21943,train
294,26505,train
295,10959,train
296,10438,train
297,24243,train
298,3661,train
299,15616,train
300,1163,train
301,24913,train
302,2727,train
303,26091,train
304,2939,train
305,3692,train
306,397,train
307,6236,train
308,14100,train
309,20571,train
310,27052,train
311,6209,train
312,17618,train
313,24266,train
314,24612,train
315,29081,train
316,1438,train
317,1440,train
318,16805,train
319,2204,train
320,5952,train
321,16708,train
322,10720,train
323,14240,train
324,19527,train
325,22830,train
326,954,train
327,19300,train
328,12866,train
329,6290,train
330,21206,train
331,20015,train
332,22490,train
333,17356,train
334,10705,train
335,5645,train
336,4558,train
337,11786,train
338,20955,train
339,21538,train
340,16862,train
341,13187,train
342,26307,train
343,4868,train
344,28259,train
345,15866,train
346,8212,train
347,8934,train
348,21902,train
349,15376,train
350,7215,train
351,1337,train
352,28424,train
353,11576,train
354,3847,train
355,9621,train
356,4022,train
357,22793,train
358,28767,train
359,2286,train
360,574,train
361,28733,train
362,27031,train
363,6750,train
364,27304,train
365,25814,train
366,13136,train
367,11828,train
368,4327,train
369,572,train
370,21529,train
371,11547,train
372,8136,train
373,7738,train
374,22276,train
375,28824,train
376,13613,train
377,8343,train
378,4711,train
379,24680,train
380,24445,train
381,5564,train
382,8007,train
383,8501,train
384,24281,train
385,7014,train
386,485,train
387,25608,train
388,8231,train
389,24224,train
390,26512,train
391,1760,train
392,25650,train
393,10885,train
394,26259,train
395,8875,train
396,12764,train
397,21798,train
398,25194,train
399,22124,train
400,20595,train
401,14382,train
402,7703,train
403,692,train
404,677,train
405,14113,train
406,19961,train
407,6874,train
408,22594,train
409,3823,train
410,16901,train
411,4929,train
412,16876,train
413,20096,train
414,25540,train
415,25403,train
416,4820,train
417,26528,train
418,22254,train
419,482,train
420,27353,train
421,27918,train
422,19304,train
423,21618,train
424,4623,train
425,12395,train
426,15441,train
427,6480,train
428,4539,train
429,2032,train
430,3125,train
431,24562,train
432,22692,train
433,978,train
434,21365,train
435,4750,train
436,21491,train
437,2648,train
438,17844,train
439,13520,train
440,2916,train
441,12318,train
442,26027,train
443,29827,train
444,19125,train
445,29018,train
446,12435,train
447,18249,train
448,3467,train
449,19014,train
450,29599,train
451,550,train
452,4625,train
453,27794,train
454,9919,train
455,10749,train
456,22931,train
457,8425,train
458,14925,train
459,13089,train
460,17719,train
461,18905,train
462,21491,train
463,22995,train
464,28746,train
465,6236,train
466,7594,train
467,8112,train
468,22603,train
469,8748,train
470,1865,train
471,13690,train
472,25912,train
473,6202,train
474,7158,train
475,2210,train
476,19996,train
477,9947,train
478,22131,train
479,18957,train
480,20083,train
481,6034,train
482,24436,train
483,2069,train
484,14318,train
485,1988,train
486,4324,train
487,24892,train
488,12552,train
489,3711,train
490,16911,train
491,16152,train
492,23738,train
493,7130,train
494,22087,train
495,778,train
496,28534,train
497,16722,train
498,2457,train
499,4937,train
500,10776,train
501,15726,train
502,21290,train
503,17194,train
504,14686,train
505,21290,train
506,18485,train
507,24593,train
508,16197,train
509,958,train
510,9014,train
511,3769,train
512,22442,train
513,27659,train
514,1123,train
515,7390,train
516,14794,train
517,3227,train
518,23326,train
519,16920,train
520,10119,train
521,23839,train
522,20060,train
523,6159,train
524,19978,train
525,19492,train
526,14932,train
527,15636,train
528,6373,train
529,23799,train
530,17354,train
531,8696,train
532,27846,train
533,14422,train
534,18634,train
535,535,train
536,28599,train
537,23263,train
538,7829,train
539,7182,train
540,10378,train
541,18642,train
542,15615,train
543,9285,train
544,7325,train
545,27555,train
546,21321,train
547,26835,train
548,13550,train
549,17913,train
550,16416,train
551,6375,train
552,3800,train
553,21344,train
554,14772,train
555,18261,train
556,4751,train
557,24829,train
558,27083,train
559,198,train
560,9507,train
561,4191,train
562,29726,train
563,21589,train
564,25737,train
565,17557,train
566,20945,train
567,20516,train
568,16680,train
569,22813,train
570,13985,train
571,6652,train
572,29751,train
573,1599,train
574,3209,train
575,9274,train
576,8795,train
577,19724,train
578,24225,train
579,23999,train
580,8300,train
581,16288,train
582,21732,train
583,6709,train
584,1269,train
585,7462,train
586,9901,train
587,3135,train
588,15106,train
589,888,train
590,20930,train
591,23427,train
592,26955,train
593,3767,train
594,8789,train
595,25963,train
596,21647,train
597,21655,train
598,29534,train
599,7780,train
600,6958,train
601,29113,train
602,1209,train
603,18427,train
604,17988,train
605,11336,train
606,22556,train
607,9291,train
608,25763,train
609,6989,train
610,5779,train
611,9340,train
612,1786,train
613,11926,train
614,11598,train
615,26981,train
616,22089,train
617,24753,train
618,3150,train
619,24247,train
620,20136,train
621,25278,train
622,9248,train
623,11735,train
624,16259,train
625,11139,train
626,5093,train
627,13965,train
628,27710,train
629,1507,train
630,9110,train
631,15536,train
632,3216,train
633,2123,train
634,6361,train
635,19831,train
636,1160,train
637,25401,train
638,3676,train
639,24137,train
640,15355,train
641,28218,train
642,23866,train
643,125,train
644,19576,train
645,10565,train
646,26720,train
647,24092,train
648,1695,train
649,8736,train
650,28610,train
651,10492,train
652,999,train
653,22753,train
654,18361,train
655,19941,train
656,11679,train
657,9666,train
658,22254,train
659,19100,train
660,6705,train
661,22185,train
662,20506,train
663,16976,train
664,13708,train
665,22165,train
666,14812,train
667,17111,train
668,2190,train
669,19572,train
670,20881,train
671,9659,train
672,6771,train
673,3470,train
674,16399,train
675,29726,train
676,18505,train
677,21694,train
678,14834,train
679,3976,train
680,16366,train
681,19015,train
682,2084,train
683,21711,train
684,15777,train
685,6434,train
686,25614,train
687,3473,train
688,4226,train
689,3299,train
690,8392,train
691,13391,train
692,4814,train
693,16759,train
694,18922,train
695,7080,train
696,25722,train
697,28008,train
698,10095,train
699,7905,train
700,4649,train
701,23397,train
702,1106,train
703,21214,train
704,20822,train
705,10399,train
706,2031,train
707,9437,train
708,25262,train
709,2806,train
710,27596,train
711,24939,train
712,7529,train
713,28021,train
714,18878,train
715,29720,train
716,8089,train
717,23633,train
718,7155,train
719,19623,train
720,4200,train
721,11608,train
722,24252,train
723,20983,train
724,11693,train
725,5142,train
726,3615,train
727,6103,train
728,12516,train
729,20521,train
730,28070,train
731,19898,train
732,19922,train
733,12503,train
734,27864,train
735,11507,train
736,6930,train
737,6913,train
738,18853,train
739,7627,train
740,23579,train
741,29357,train
742,10708,train
743,11906,train
744,28583,train
745,13885,train
746,459,train
747,19153,train
748,28496,train
749,3829,train
750,9869,train
751,16835,train
752,21161,train
753,16336,train
754,27538,train
755,15288,train
756,19396,train
757,17209,train
758,18817,train
759,19396,train
760,4227,train
761,16885,train
762,71,train
763,23961,train
764,4050,train
765,10205,train
766,17093,train
767,24866,train
768,19837,train
769,8735,train
770,13644,train
771,29664,train
772,10978,train
773,24954,train
774,21899,train
775,12537,train
776,21053,train
777,6525,train
778,26195,train
779,1444,train
780,25808,train
781,14532,train
782,15257,train
783,22989,train
784,14359,train
785,22453,train
786,110,train
787,11721,train
788,24289,train
789,6502,train
790,11924,train
791,25384,train
792,15575,train
793,3210,train
794,1107,train
795,19506,train
796,27211,train
797,26861,train
798,26821,train
799,10337,train
800,18874,train
801,4523,train
802,18360,train
803,29700,train
804,28688,train
805,27850,train
806,7907,train
807,1589,train
808,4604,train
809,28549,train
810,5024,train
