index,set
24726,train
4,train
12691,train
14792,train
16458,train
14845,train
1467,train
3966,train
1663,train
18426,train
19512,train
20874,train
22522,train
208,train
7040,train
22175,train
20751,train
13571,train
25535,train
14786,train
26592,train
4158,train
4467,train
4747,train
1716,train
792,train
3730,train
21547,train
9616,train
27717,train
3891,train
8679,train
14478,train
25191,train
16907,train
12058,train
19195,train
14332,train
18304,train
12149,train
6569,train
1328,train
16305,train
22824,train
17050,train
19331,train
23518,train
4338,train
25917,train
10071,train
18744,train
21258,train
10622,train
26757,train
14899,train
26483,train
14973,train
14995,train
7218,train
6953,train
14781,train
2217,train
25458,train
7646,train
7174,train
19452,train
27395,train
2927,train
19483,train
15686,train
16731,train
4688,train
18371,train
159,train
13238,train
18432,train
26477,train
1940,train
11695,train
9668,train
28820,train
20965,train
3001,train
1879,train
1403,train
5946,train
11599,train
17985,train
29879,train
29069,train
6894,train
5728,train
2713,train
19743,train
24195,train
20318,train
14777,train
17367,train
7726,train
15471,train
15810,train
27578,train
4239,train
27397,train
13377,train
362,train
6260,train
13586,train
8296,train
26053,train
11888,train
1812,train
24913,train
13110,train
12298,train
791,train
3120,train
13274,train
6178,train
2493,train
22605,train
13520,train
25021,train
2580,train
15518,train
11255,train
10455,train
11599,train
1508,train
9419,train
16576,train
5074,train
1606,train
28045,train
14287,train
21093,train
13882,train
4539,train
12312,train
4802,train
7151,train
8059,train
3904,train
13722,train
25199,train
20629,train
13115,train
20551,train
8915,train
3453,train
19570,train
9282,train
19,train
9496,train
4781,train
14992,train
26190,train
29896,train
8202,train
14591,train
28322,train
1262,train
16810,train
13198,train
19682,train
2274,train
5056,train
5159,train
10717,train
23566,train
94,train
713,train
10643,train
14772,train
5809,train
27342,train
13071,train
24570,train
14630,train
1103,train
4130,train
14410,train
12591,train
27680,train
11604,train
21394,train
29724,train
26965,train
175,train
20974,train
2936,train
28876,train
24275,train
24943,train
1032,train
2580,train
4237,train
25386,train
23451,train
29391,train
2204,train
5319,train
10003,train
26461,train
9213,train
1670,train
7499,train
18234,train
636,train
18954,train
4828,train
26212,train
29325,train
12947,train
12064,train
24080,train
13828,train
3370,train
6437,train
24014,train
12457,train
22645,train
27063,train
6674,train
7473,train
19867,train
23779,train
24434,train
231,train
2368,train
6829,train
29981,train
8963,train
5783,train
8025,train
4218,train
5878,train
28955,train
2827,train
19177,train
7865,train
5669,train
18587,train
11461,train
1524,train
15318,train
16459,train
27230,train
15550,train
5992,train
21071,train
3645,train
6806,train
2518,train
4599,train
5216,train
16883,train
2735,train
23638,train
22668,train
15204,train
3342,train
24798,train
10698,train
7449,train
27324,train
15510,train
26169,train
27387,train
19949,train
15846,train
18934,train
27451,train
19639,train
10125,train
8160,train
5328,train
1802,train
5866,train
9051,train
26369,train
24756,train
5970,train
8427,train
23590,train
28294,train
17885,train
19607,train
1920,train
22019,train
12129,train
20640,train
10945,train
20430,train
20306,train
14905,train
25901,train
6183,train
29231,train
22368,train
6282,train
24457,train
4126,train
4885,train
13587,train
10303,train
24656,train
1678,train
7924,train
23243,train
19236,train
9020,train
28477,train
3293,train
22191,train
21523,train
12954,train
16951,train
3435,train
20127,train
22321,train
26371,train
28606,train
16553,train
25361,train
13922,train
27682,train
4172,train
16893,train
26907,train
706,train
19948,train
3477,train
2458,train
10718,train
17810,train
24719,train
13518,train
337,train
28064,train
14341,train
9087,train
24986,train
13906,train
7203,train
19741,train
17427,train
15955,train
23344,train
10012,train
29803,train
12952,train
7750,train
11120,train
21339,train
19583,train
2595,train
27094,train
29045,train
14422,train
20698,train
174,train
8375,train
1710,train
22259,train
16435,train
11700,train
5880,train
6624,train
6864,train
13689,train
14118,train
27219,train
27329,train
14541,train
18177,train
15107,train
18809,train
7509,train
17377,train
4344,train
1941,train
16963,train
29361,train
11960,train
12417,train
10995,train
27343,train
27900,train
14313,train
1000,train
15145,train
5346,train
28950,train
14369,train
20428,train
5666,train
16130,train
23046,train
28129,train
8844,train
22047,train
11936,train
21892,train
20585,train
54,train
19089,train
16799,train
342,train
8909,train
9480,train
15047,train
2554,train
14406,train
3048,train
14955,train
26109,train
10501,train
1835,train
14887,train
7015,train
11228,train
12495,train
9442,train
11636,train
6813,train
18034,train
26705,train
11124,train
16586,train
12795,train
3419,train
10866,train
4913,train
17552,train
12343,train
13239,train
8605,train
12107,train
25232,train
8876,train
28657,train
10720,train
22920,train
7166,train
25405,train
28338,train
10694,train
12158,train
4687,train
22199,train
28859,train
8265,train
19540,train
8339,train
3360,train
12592,train
24848,train
12856,train
6181,train
18827,train
10105,train
28583,train
20505,train
29689,train
267,train
15006,train
3944,train
12566,train
28658,train
25739,train
9296,train
5908,train
19707,train
5953,train
29561,train
10812,train
3915,train
17488,train
16168,train
21405,train
27103,train
5637,train
25786,train
16269,train
15499,train
14718,train
2031,train
12481,train
26815,train
13604,train
3735,train
28598,train
11508,train
28226,train
8707,train
3718,train
19954,train
16541,train
24213,train
10770,train
13252,train
4518,train
29804,train
11997,train
10042,train
14093,train
13077,train
28652,train
9046,train
21703,train
21638,train
9115,train
9200,train
29927,train
9943,train
18973,train
2146,train
9164,train
16991,train
18902,train
3363,train
4094,train
7756,train
14809,train
25616,train
1153,train
23162,train
257,train
8691,train
14730,train
12322,train
10548,train
1069,train
16400,train
17000,train
13705,train
27716,train
18260,train
10975,train
9794,train
6590,train
17874,train
17421,train
25632,train
8527,train
23254,train
24959,train
518,train
25898,train
17351,train
9475,train
20235,train
18830,train
24196,train
13393,train
27513,train
16914,train
20679,train
9497,train
